Mapping,Accuracy
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 4, 'Fe3C': 3, 'Mg3Cd': 2, 'TiAl3': 6}",0.9420963651732882
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 4, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 2}",0.9573119188503804
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 4, 'Fe3C': 6, 'Mg3Cd': 2, 'TiAl3': 3}",0.9801352493660186
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 4, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 2}",0.9708368554522401
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 6, 'Fe3C': 2, 'Mg3Cd': 3, 'TiAl3': 4}",0.9661876584953508
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 6, 'Fe3C': 2, 'Mg3Cd': 4, 'TiAl3': 3}",0.9666103127641589
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 6, 'Fe3C': 3, 'Mg3Cd': 2, 'TiAl3': 4}",0.9695688926458157
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 6, 'Fe3C': 3, 'Mg3Cd': 4, 'TiAl3': 2}",0.9767540152155537
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 2, 'TiAl3': 3}",0.9809805579036348
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 3, 'TiAl3': 2}",0.9788672865595942
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 2, 'Fe3C': 3, 'Mg3Cd': 4, 'TiAl3': 5}",0.8994082840236687
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 2, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 4}",0.9175824175824175
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 2, 'Fe3C': 4, 'Mg3Cd': 3, 'TiAl3': 5}",0.9268808114961962
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 2, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 3}",0.9391377852916315
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 2, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 4}",0.9395604395604396
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 2, 'Fe3C': 5, 'Mg3Cd': 4, 'TiAl3': 3}",0.9564666103127641
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 3, 'Fe3C': 2, 'Mg3Cd': 4, 'TiAl3': 5}",0.8956043956043956
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 3, 'Fe3C': 2, 'Mg3Cd': 5, 'TiAl3': 4}",0.9112426035502958
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 3, 'Fe3C': 4, 'Mg3Cd': 2, 'TiAl3': 5}",0.9315300084530854
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 3, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 2}",0.9492814877430262
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 2, 'TiAl3': 4}",0.9408284023668639
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 4, 'TiAl3': 2}",0.9564666103127641
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 4, 'Fe3C': 2, 'Mg3Cd': 3, 'TiAl3': 5}",0.9175824175824175
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 4, 'Fe3C': 2, 'Mg3Cd': 5, 'TiAl3': 3}",0.9315300084530854
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 4, 'Fe3C': 3, 'Mg3Cd': 2, 'TiAl3': 5}",0.9357565511411665
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 4, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 2}",0.9488588334742181
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 4, 'Fe3C': 5, 'Mg3Cd': 2, 'TiAl3': 3}",0.9598478444632291
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 4, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 2}",0.9619611158072696
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 5, 'Fe3C': 2, 'Mg3Cd': 3, 'TiAl3': 4}",0.9513947590870668
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 5, 'Fe3C': 2, 'Mg3Cd': 4, 'TiAl3': 3}",0.9404057480980558
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 2, 'TiAl3': 4}",0.9475908706677938
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 4, 'TiAl3': 2}",0.9619611158072696
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 2, 'TiAl3': 3}",0.9611158072696534
"{'Cu3Au': 1, 'Cr3Si': 6, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 3, 'TiAl3': 2}",0.959425190194421
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 3, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 6}",0.967032967032967
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 3, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 5}",0.9606931530008453
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 4, 'TiAl3': 6}",0.9805579036348268
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 4}",0.9746407438715131
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 3, 'Fe3C': 6, 'Mg3Cd': 4, 'TiAl3': 5}",0.9847844463229078
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 3, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 4}",0.9750633981403212
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 4, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 6}",0.9644970414201184
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 4, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 5}",0.9611158072696534
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 4, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 6}",0.985207100591716
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 4, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 3}",0.9699915469146239
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 4, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 5}",0.989010989010989
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 4, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 3}",0.9687235841081995
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 4, 'TiAl3': 6}",0.9729501267962807
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 4}",0.9695688926458157
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 3, 'TiAl3': 6}",0.9788672865595942
"{'Cu3Au': 2, 'Cr3Si': 1, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 3}",0.9737954353338969
